 ,Image Link,Design Name, ,SKU Code,,Size,UOM,QTY,CP,remarks,CP/QTY,Total CP,SP,Margin,New SKU Name,,Type,,Finish,Color,,Length,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/B0A21FBA-501C-4FC8-B3CF-02D4C811FFD4.jpg,,Props&Accessorie,,Havan Kund,,,1,,,,,,,,Props & accessories,Havan kund,Metal (generic),natural,NA,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/B0A21FBA-501C-4FC8-B3CF-02D4C811FFD4.jpg,,Furniture,,Mandap Chair- 1 seater,,,4,,,,,,,,Furniture,chair,Antique,NA,1 seater,Cushion,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/B0A21FBA-501C-4FC8-B3CF-02D4C811FFD4.jpg,,Furniture,,Metal Mane,,,2,,,,,,,,Furniture,mandap chair (Mane),NA,metal,NA,No cushioning,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/B0A21FBA-501C-4FC8-B3CF-02D4C811FFD4.jpg,,Furniture,,Golden Chivary Chair,,,84,,,,,,,,Furniture,chair,Chivary,NA,1 seater,No cushioning,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/B0A21FBA-501C-4FC8-B3CF-02D4C811FFD4.jpg,,Platform,,carpet,red(32x20),sft,1,,,,,,,,,,,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/B0A21FBA-501C-4FC8-B3CF-02D4C811FFD4.jpg,,Artificial Flowers,,Red Rose,,,500,,,,,,,,Flowers,Artificial,Rose,Red,NA,NA,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/B0A21FBA-501C-4FC8-B3CF-02D4C811FFD4.jpg,,Artificial Flowers,,Baby Pink Rose,,,500,,,,,,,,Flowers,Artificial,Rose,Pink,NA,NA,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/B0A21FBA-501C-4FC8-B3CF-02D4C811FFD4.jpg,,Artificial Flowers,,White Rose,,,500,,,,,,,,Flowers,Artificial,Rose,White,NA,NA,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/B0A21FBA-501C-4FC8-B3CF-02D4C811FFD4.jpg,,Artificial Flowers,,dry spiral stems,,,36,,,,,,,,Flowers,Artificial,tree trunk\ branches,Brown,Stem,NA,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/B0A21FBA-501C-4FC8-B3CF-02D4C811FFD4.jpg,,Artificial Flowers,,White Moth Orchid Sticks - 3L Feet,,,60,,,,,,,,Flowers,Artificial,orchid,White,NA,NA,NA,,
